地名,センター,燃やすごみ,燃やさないごみ,有害ごみ,資源
吉祥寺東町,武蔵野クリーンセンター,月 木,金1 金3,火,水
吉祥寺南町,武蔵野クリーンセンター,月 木,火1 火3,金,水
御殿山,武蔵野クリーンセンター,月 木,水1 水3,金,火
吉祥寺本町１丁目,武蔵野クリーンセンター,月 木,金1 金3,火,水
吉祥寺本町２～４丁目,武蔵野クリーンセンター,月 木,水1 水3,金,火
吉祥寺北町,武蔵野クリーンセンター,月 木,水1 水3,火,金
中町,武蔵野クリーンセンター,月 木,水1 水3,金,火
西久保,武蔵野クリーンセンター,火 金,水2 水4,木,月
緑町,武蔵野クリーンセンター,火 金,月2 月4,木,水
八幡町,武蔵野クリーンセンター,火 金,月2 月4,木,水
関前,武蔵野クリーンセンター,火 金,水2 水4,木,月
境１・３丁目,武蔵野クリーンセンター,火 金,水2 水4,木,月
境２・４・５丁目,武蔵野クリーンセンター,火 金,木2 木4,月,水
境南町,武蔵野クリーンセンター,火 金,水2 水4,月,木
桜堤,武蔵野クリーンセンター,火 金,木2 木4,月,水
